ReachPath[ReachPath[ReachPath[E9],E15],E22]	2	9	2->4->8->9	,2,4,8,9,
ReachPath[ReachPath[ReachPath[E9],E15],E23]	2	10	2->4->8->10	,2,4,8,10,
ReachPath[ReachPath[ReachPath[E4],E8],E11]	1	5	1->2->3->5	,1,2,3,5,
ReachPath[ReachPath[ReachPath[E4],E8],E12]	1	13	1->2->3->13	,1,2,3,13,
ReachPath[ReachPath[ReachPath[E4],E8],E13]	1	10	1->2->3->10	,1,2,3,10,
ReachPath[ReachPath[ReachPath[E4],E9],E14]	1	6	1->2->4->6	,1,2,4,6,
ReachPath[ReachPath[ReachPath[E4],E9],E15]	1	8	1->2->4->8	,1,2,4,8,
ReachPath[ReachPath[ReachPath[E5],E11],E16]	1	6	1->3->5->6	,1,3,5,6,
ReachPath[ReachPath[ReachPath[E5],E11],E17]	1	11	1->3->5->11	,1,3,5,11,
ReachPath[ReachPath[ReachPath[E5],E12],E29]	1	14	1->3->13->14	,1,3,13,14,
ReachPath[ReachPath[ReachPath[E5],E13],E26]	1	11	1->3->10->11	,1,3,10,11,
ReachPath[ReachPath[ReachPath[E6],E20],E22]	1	9	1->7->8->9	,1,7,8,9,
ReachPath[ReachPath[ReachPath[E6],E20],E23]	1	10	1->7->8->10	,1,7,8,10,
ReachPath[ReachPath[ReachPath[E11],E16],E18]	3	7	3->5->6->7	,3,5,6,7,
ReachPath[ReachPath[ReachPath[E11],E16],E19]	3	9	3->5->6->9	,3,5,6,9,
ReachPath[ReachPath[ReachPath[E20],E22],E24]	7	10	7->8->9->10	,7,8,9,10,
ReachPath[ReachPath[ReachPath[E20],E22],E25]	7	11	7->8->9->11	,7,8,9,11,
ReachPath[ReachPath[ReachPath[E20],E23],E26]	7	11	7->8->10->11	,7,8,10,11,
ReachPath[ReachPath[ReachPath[E14],E18],E20]	4	8	4->6->7->8	,4,6,7,8,
ReachPath[ReachPath[ReachPath[E14],E18],E21]	4	14	4->6->7->14	,4,6,7,14,
ReachPath[ReachPath[ReachPath[E14],E19],E24]	4	10	4->6->9->10	,4,6,9,10,
ReachPath[ReachPath[ReachPath[E14],E19],E25]	4	11	4->6->9->11	,4,6,9,11,
ReachPath[ReachPath[ReachPath[E15],E22],E24]	4	10	4->8->9->10	,4,8,9,10,
ReachPath[ReachPath[ReachPath[E15],E22],E25]	4	11	4->8->9->11	,4,8,9,11,
ReachPath[ReachPath[ReachPath[E15],E23],E26]	4	11	4->8->10->11	,4,8,10,11,
ReachPath[ReachPath[ReachPath[E16],E18],E20]	5	8	5->6->7->8	,5,6,7,8,
ReachPath[ReachPath[ReachPath[E16],E18],E21]	5	14	5->6->7->14	,5,6,7,14,
ReachPath[ReachPath[ReachPath[E16],E19],E24]	5	10	5->6->9->10	,5,6,9,10,
ReachPath[ReachPath[ReachPath[E16],E19],E25]	5	11	5->6->9->11	,5,6,9,11,
ReachPath[ReachPath[ReachPath[E18],E20],E22]	6	9	6->7->8->9	,6,7,8,9,
ReachPath[ReachPath[ReachPath[E18],E20],E23]	6	10	6->7->8->10	,6,7,8,10,
ReachPath[ReachPath[ReachPath[E19],E24],E26]	6	11	6->9->10->11	,6,9,10,11,
ReachPath[ReachPath[ReachPath[E22],E24],E26]	8	11	8->9->10->11	,8,9,10,11,
ReachPath[ReachPath[ReachPath[ReachPath[E1],E8],E11],E16]	0	6	0->2->3->5->6	,0,2,3,5,6,
ReachPath[ReachPath[ReachPath[ReachPath[E1],E8],E11],E17]	0	11	0->2->3->5->11	,0,2,3,5,11,
ReachPath[ReachPath[ReachPath[ReachPath[E1],E8],E12],E29]	0	14	0->2->3->13->14	,0,2,3,13,14,
ReachPath[ReachPath[ReachPath[ReachPath[E1],E8],E13],E26]	0	11	0->2->3->10->11	,0,2,3,10,11,
ReachPath[ReachPath[ReachPath[ReachPath[E1],E9],E14],E18]	0	7	0->2->4->6->7	,0,2,4,6,7,
ReachPath[ReachPath[ReachPath[ReachPath[E1],E9],E14],E19]	0	9	0->2->4->6->9	,0,2,4,6,9,
ReachPath[ReachPath[ReachPath[ReachPath[E1],E9],E15],E22]	0	9	0->2->4->8->9	,0,2,4,8,9,
ReachPath[ReachPath[ReachPath[ReachPath[E1],E9],E15],E23]	0	10	0->2->4->8->10	,0,2,4,8,10,
ReachPath[ReachPath[ReachPath[ReachPath[E8],E11],E16],E18]	2	7	2->3->5->6->7	,2,3,5,6,7,
ReachPath[ReachPath[ReachPath[ReachPath[E8],E11],E16],E19]	2	9	2->3->5->6->9	,2,3,5,6,9,
ReachPath[ReachPath[ReachPath[ReachPath[E9],E14],E18],E20]	2	8	2->4->6->7->8	,2,4,6,7,8,
ReachPath[ReachPath[ReachPath[ReachPath[E9],E14],E18],E21]	2	14	2->4->6->7->14	,2,4,6,7,14,
ReachPath[ReachPath[ReachPath[ReachPath[E9],E14],E19],E24]	2	10	2->4->6->9->10	,2,4,6,9,10,
ReachPath[ReachPath[ReachPath[ReachPath[E9],E14],E19],E25]	2	11	2->4->6->9->11	,2,4,6,9,11,
ReachPath[ReachPath[ReachPath[ReachPath[E9],E15],E22],E24]	2	10	2->4->8->9->10	,2,4,8,9,10,
ReachPath[ReachPath[ReachPath[ReachPath[E9],E15],E22],E25]	2	11	2->4->8->9->11	,2,4,8,9,11,
